provincia,nombre_depto,cantidad_bp,cantidad_ee_comun,poblacion_total,bp_cada_1000,ee_cada_1000
La Pampa,LIHUEL CALEL,1,3.0,428,2.34,7.01
Río Negro,ÑORQUINCO,2,24.0,1452,1.38,16.53
Chubut,TELSEN,2,16.0,1608,1.24,9.95
La Rioja,CASTRO BARROS,4,64.0,5810,0.69,11.02
Salta,LA POMA,1,11.0,1789,0.56,6.15
La Pampa,RANCUL,6,156.0,11090,0.54,14.07
La Pampa,GUATRACHE,5,95.0,9397,0.53,10.11
La Pampa,HUCAL,4,64.0,7713,0.52,8.3
Jujuy,SUSQUES,2,42.0,3966,0.5,10.59
La Pampa,QUEMU QUEMU,4,72.0,8404,0.48,8.57
La Pampa,REALICO,8,272.0,17356,0.46,15.67
La Pampa,ATREUCO,5,110.0,11053,0.45,9.95
Buenos Aires,GUAMINI,5,220.0,11662,0.43,18.86
Catamarca,PACLIN,2,58.0,4696,0.43,12.35
La Pampa,CHAPALEUFU,5,130.0,12277,0.41,10.59
Buenos Aires,TORDILLO,1,11.0,2528,0.4,4.35
La Pampa,CALEU CALEU,1,4.0,2611,0.38,1.53
Jujuy,TUMBAYA,2,44.0,5298,0.38,8.31
Neuquén,CATAN LIL,1,13.0,2641,0.38,4.92
San Luis,BELGRANO,2,106.0,5575,0.36,19.01
Neuquén,ÑORQUIN,2,38.0,5572,0.36,6.82
La Pampa,CATRILO,3,42.0,8225,0.36,5.11
La Pampa,TRENEL,2,24.0,5637,0.35,4.26
Chubut,LANGUIÑEO,1,11.0,2862,0.35,3.84
Chubut,TEHUELCHES,2,26.0,5947,0.34,4.37
La Pampa,CONHELO,5,160.0,15094,0.33,10.6
La Rioja,SANAGASTA,1,3.0,2994,0.33,1.0
Buenos Aires,GENERAL GUIDO,1,23.0,3157,0.32,7.29
Neuquén,MINAS,3,78.0,9267,0.32,8.42
Santa Cruz,RIO CHICO,2,18.0,6271,0.32,2.87
La Pampa,LOVENTUE,3,57.0,9243,0.32,6.17
La Rioja,GENERAL ANGEL V PEÑALOZA,1,26.0,3184,0.31,8.17
Buenos Aires,GENERAL PINTO,4,124.0,12842,0.31,9.66
Neuquén,ALUMINE,3,72.0,10173,0.29,7.08
Río Negro,EL CUY,2,34.0,6960,0.29,4.89
Salta,LA CANDELARIA,2,22.0,7182,0.28,3.06
La Pampa,UTRACAN,5,165.0,17686,0.28,9.33
Buenos Aires,TORNQUIST,4,196.0,14591,0.27,13.43
Catamarca,FRAY MAMERTO ESQUIU,4,112.0,14624,0.27,7.66
La Rioja,GENERAL BELGRANO,2,80.0,7615,0.26,10.51
Catamarca,POMAN,3,132.0,12219,0.25,10.8
San Luis,CORONEL PRINGLES,4,176.0,16044,0.25,10.97
Chubut,CUSHAMEN,7,448.0,28099,0.25,15.94
Chubut,GAIMAN,3,69.0,12505,0.24,5.52
San Juan,VALLE FERTIL,2,88.0,8425,0.24,10.45
Catamarca,SANTA ROSA,3,165.0,13317,0.23,12.39
San Juan,IGLESIA,2,60.0,8826,0.23,6.8
Catamarca,EL ALTO,1,50.0,4375,0.23,11.43
La Rioja,SAN BLAS DE LOS SAUCES,1,17.0,4306,0.23,3.95
Río Negro,VALCHETA,1,14.0,4300,0.23,3.26
San Luis,CHACABUCO,6,276.0,26522,0.23,10.41
Buenos Aires,SAN CAYETANO,2,46.0,8918,0.22,5.16
Neuquén,CHOS MALAL,4,104.0,18289,0.22,5.69
San Luis,LIBERTADOR GRL SAN MARTIN,1,49.0,4691,0.21,10.45
Buenos Aires,GENERAL LAVALLE,1,20.0,4846,0.21,4.13
Neuquén,COLLON CURA,1,10.0,4832,0.21,2.07
Río Negro,PILCANIYEU,2,42.0,9309,0.21,4.51
Catamarca,CAPAYAN,4,260.0,19471,0.21,13.35
San Juan,SAN MARTIN,3,90.0,15037,0.2,5.99
Catamarca,AMBATO,1,36.0,5087,0.2,7.08
Jujuy,COCHINOCA,3,147.0,14998,0.2,9.8
Neuquén,PICUN LEUFU,1,10.0,5087,0.2,1.97
Buenos Aires,CORONEL DORREGO,3,147.0,15795,0.19,9.31
San Juan,CALINGASTA,2,74.0,10667,0.19,6.94
Santiago del Estero,RIVADAVIA,1,21.0,5314,0.19,3.95
Buenos Aires,PUAN,3,138.0,16391,0.18,8.42
Corrientes,GENERAL PAZ,3,198.0,17016,0.18,11.64
Santa Fe,SAN MARTIN,12,1188.0,67299,0.18,17.65
Santa Fe,CONSTITUCION,17,1530.0,93000,0.18,16.45
San Luis,JUNIN,7,406.0,40289,0.17,10.08
Buenos Aires,LEANDRO N. ALEM,3,105.0,17153,0.17,6.12
Salta,MOLINOS,1,21.0,5808,0.17,3.62
Buenos Aires,TRES ARROYOS,10,990.0,61889,0.16,16.0
Chubut,RIO SENGUER,1,21.0,6347,0.16,3.31
Santa Fe,LAS COLONIAS,18,3618.0,114730,0.16,31.53
