Prov,Dpto,Jard,Pob_Jard,Prim,Pob_Prim,Sec,Pob_Sec
Buenos Aires,LA MATANZA,406.0,157034,335.0,225872,336.0,181212
Buenos Aires,LA PLATA,291.0,52075,201.0,77998,211.0,67326
Buenos Aires,LOMAS DE ZAMORA,222.0,50825,179.0,76967,191.0,65257
Buenos Aires,GENERAL PUEYRREDON,242.0,41427,168.0,62565,173.0,57730
Buenos Aires,QUILMES,231.0,47353,145.0,70881,151.0,60085
Buenos Aires,MORENO,134.0,50791,138.0,76357,134.0,60359
Buenos Aires,ALMIRANTE BROWN,181.0,43762,137.0,67913,146.0,58227
Buenos Aires,MERLO,126.0,48007,120.0,71541,125.0,59718
Buenos Aires,LANUS,164.0,28133,117.0,44506,113.0,39855
Buenos Aires,PILAR,148.0,34493,112.0,49944,105.0,41528
Buenos Aires,TIGRE,149.0,32611,111.0,51961,107.0,45401
Buenos Aires,GENERAL SAN MARTIN,134.0,28038,98.0,44539,96.0,39634
Buenos Aires,FLORENCIO VARELA,110.0,44663,98.0,64455,102.0,52426
Buenos Aires,BAHIA BLANCA,160.0,22621,95.0,33944,81.0,28746
Buenos Aires,BERAZATEGUI,146.0,25806,94.0,41462,97.0,35467
Buenos Aires,MORON,162.0,18044,91.0,28780,86.0,26584
Buenos Aires,AVELLANEDA,161.0,22784,91.0,37082,76.0,32476
Buenos Aires,SAN MIGUEL,116.0,24752,91.0,37035,97.0,30653
Buenos Aires,SAN ISIDRO,152.0,17057,89.0,26323,88.0,25052
Buenos Aires,TRES DE FEBRERO,155.0,21166,87.0,33616,83.0,30170
Buenos Aires,MALVINAS ARGENTINAS,92.0,25943,81.0,40319,87.0,34959
Buenos Aires,ESCOBAR,99.0,21900,79.0,31983,78.0,25714
Buenos Aires,VICENTE LOPEZ,155.0,14893,75.0,22610,69.0,21312
Buenos Aires,OLAVARRIA,98.0,8554,74.0,13055,41.0,11526
Buenos Aires,ESTEBAN ECHEVERRIA,86.0,27670,71.0,41112,72.0,34241
Buenos Aires,JOSE C. PAZ,58.0,29597,63.0,42316,61.0,34014
Buenos Aires,TANDIL,103.0,9785,62.0,14723,41.0,12884
Buenos Aires,SAN NICOLAS,74.0,12727,57.0,17845,51.0,15225
Buenos Aires,PERGAMINO,84.0,8676,56.0,12264,39.0,10389
Buenos Aires,SAN FERNANDO,104.0,11498,55.0,17900,47.0,15461
Buenos Aires,AZUL,72.0,5390,54.0,8219,27.0,7066
Buenos Aires,NECOCHEA,67.0,6914,50.0,10545,35.0,9347
Buenos Aires,LUJAN,77.0,8352,49.0,12341,38.0,10388
Buenos Aires,CHIVILCOY,62.0,4906,49.0,7181,22.0,6479
Buenos Aires,25 DE MAYO,64.0,2706,47.0,3733,17.0,3238
Buenos Aires,TRENQUE LAUQUEN,65.0,4016,47.0,5326,17.0,4442
Buenos Aires,HURLINGHAM,73.0,11620,46.0,18866,50.0,16751
Buenos Aires,EZEIZA,64.0,17155,46.0,25615,45.0,21089
Buenos Aires,JUNIN,66.0,7543,46.0,10433,35.0,8728
Buenos Aires,ITUZAINGO,77.0,10707,45.0,17692,47.0,16004
Buenos Aires,ZARATE,69.0,9976,45.0,15431,37.0,13300
Buenos Aires,MERCEDES,61.0,5457,44.0,7882,25.0,6753
Buenos Aires,CAMPANA,75.0,8120,43.0,12587,41.0,10846
Buenos Aires,SAN PEDRO,46.0,5781,42.0,8283,25.0,7113
Buenos Aires,TRES ARROYOS,61.0,4260,41.0,6392,22.0,5392
Buenos Aires,LINCOLN,50.0,3480,41.0,4674,19.0,4080
Buenos Aires,LAS FLORES,22.0,1982,39.0,2771,10.0,2543
Buenos Aires,CAÑUELAS,37.0,6225,39.0,9538,30.0,7497
Buenos Aires,CHASCOMUS,40.0,3167,38.0,4976,19.0,4223
Buenos Aires,BALCARCE,57.0,3638,38.0,5070,20.0,4268
Buenos Aires,9 DE JULIO,56.0,3963,37.0,5830,21.0,4999
Buenos Aires,BOLIVAR,47.0,2830,37.0,3857,15.0,3206
Buenos Aires,CHACABUCO,48.0,3518,37.0,5344,19.0,4811
Buenos Aires,SALADILLO,42.0,2716,36.0,3785,13.0,3339
Buenos Aires,AYACUCHO,40.0,1699,36.0,2442,12.0,2150
Buenos Aires,CORONEL SUAREZ,62.0,2881,35.0,4418,22.0,3537
Buenos Aires,LOBOS,50.0,3294,35.0,4668,15.0,4035
Buenos Aires,GENERAL RODRIGUEZ,57.0,14137,34.0,20970,32.0,15698
Buenos Aires,PEHUAJO,44.0,3474,34.0,4827,18.0,4284
Buenos Aires,LOBERIA,38.0,1302,32.0,1865,10.0,1638
Buenos Aires,SAN VICENTE,38.0,9859,32.0,14032,20.0,10952
Buenos Aires,VILLARINO,35.0,2586,32.0,3677,14.0,3288
Buenos Aires,GENERAL VILLEGAS,58.0,2797,32.0,4006,17.0,3428
Buenos Aires,NAVARRO,41.0,1501,30.0,2341,9.0,2082
Buenos Aires,SAN ANDRES DE GILES,50.0,2151,29.0,3031,16.0,2583
Buenos Aires,PATAGONES,40.0,2857,28.0,4262,14.0,3335
Buenos Aires,BERISSO,30.0,7704,28.0,11779,25.0,9722
Buenos Aires,BARADERO,39.0,3225,27.0,4372,19.0,3818
Buenos Aires,MAR CHIQUITA,35.0,2519,26.0,3622,13.0,3044
Buenos Aires,GENERAL ALVEAR,22.0,758,26.0,1137,6.0,912
Buenos Aires,CORONEL DE MARINA L ROSALES,36.0,4705,26.0,7353,19.0,6424
Buenos Aires,GENERAL PAZ,25.0,1095,25.0,1705,6.0,1390
Buenos Aires,ROQUE PEREZ,31.0,1104,25.0,1572,6.0,1316
Buenos Aires,RAMALLO,21.0,3451,24.0,4707,11.0,4088
Buenos Aires,CORONEL PRINGLES,38.0,1890,24.0,2791,11.0,2166
Buenos Aires,LA COSTA,39.0,7455,24.0,11364,22.0,10072
Buenos Aires,MARCOS PAZ,39.0,5973,24.0,8477,17.0,7148
Buenos Aires,MAGDALENA,32.0,1935,23.0,2768,15.0,2260
Buenos Aires,ADOLFO ALSINA,31.0,1292,23.0,1697,12.0,1437
Buenos Aires,GENERAL JUAN MADARIAGA,31.0,1548,23.0,2637,11.0,2375
Buenos Aires,CARLOS CASARES,34.0,1731,23.0,2491,14.0,2110
Buenos Aires,BRANDSEN,26.0,2588,22.0,3997,17.0,3510
Buenos Aires,RAUCH,30.0,1197,22.0,1761,7.0,1519
Buenos Aires,BRAGADO,31.0,3360,22.0,4807,16.0,4203
