Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Córdoba,CAPITAL,20,1144,1498060
Buenos Aires,LA MATANZA,16,996,1837168
Santa Fe,ROSARIO,39,830,1337958
Buenos Aires,LA PLATA,33,687,756074
Buenos Aires,LOMAS DE ZAMORA,12,557,685644
Buenos Aires,GENERAL PUEYRREDON,6,540,660569
Santa Fe,LA CAPITAL,23,471,568259
Buenos Aires,QUILMES,9,460,631774
Chaco,SAN FERNANDO,31,450,413764
Entre Ríos,PARANA,11,444,388716
Buenos Aires,ALMIRANTE BROWN,11,426,583209
Tucumán,CAPITAL,10,406,587289
Río Negro,GENERAL ROCA,29,392,379627
Buenos Aires,MORENO,16,377,575758
Neuquén,CONFLUENCIA,40,362,467217
Buenos Aires,LANUS,13,360,460081
Córdoba,SAN JUSTO,20,358,228951
Buenos Aires,MERLO,4,355,581484
Chaco,GENERAL GUEMES,1,344,68429
Córdoba,RIO CUARTO,16,336,277979
Buenos Aires,TIGRE,13,336,446291
Misiones,CAPITAL,7,317,391498
Buenos Aires,PILAR,6,317,393614
Formosa,PATIÑO,2,311,81600
Salta,CAPITAL,27,300,624003
Buenos Aires,GENERAL SAN MARTIN,14,300,444503
Buenos Aires,AVELLANEDA,15,297,366117
Buenos Aires,FLORENCIO VARELA,10,296,488103
Buenos Aires,BAHIA BLANCA,15,291,334505
Buenos Aires,BERAZATEGUI,6,290,358328
Buenos Aires,MORON,2,286,329517
Santiago del Estero,CAPITAL,26,280,328824
Buenos Aires,SAN ISIDRO,7,276,295978
Buenos Aires,TRES DE FEBRERO,9,274,362319
Corrientes,CAPITAL,15,273,437446
Buenos Aires,SAN MIGUEL,4,273,327650
Córdoba,COLON,11,265,294511
Misiones,GUARANI,2,265,77075
Misiones,OBERA,3,262,120703
Jujuy,DOCTOR MANUEL BELGRANO,7,261,319469
Santa Fe,GENERAL OBLIGADO,14,259,197533
Formosa,FORMOSA,8,256,268572
Mendoza,SAN RAFAEL,14,253,213204
Santa Fe,CASTELLANOS,21,251,189464
Buenos Aires,VICENTE LOPEZ,6,251,280541
Santa Fe,GENERAL LOPEZ,21,236,200455
Formosa,PIRANE,3,232,72560
Buenos Aires,ESCOBAR,2,232,256071
Buenos Aires,MALVINAS ARGENTINAS,5,227,349401
Santiago del Estero,BANDA,13,216,170401
Buenos Aires,ESTEBAN ECHEVERRIA,3,210,337880
Mendoza,GUAYMALLEN,5,206,320871
Misiones,CAINGUAS,3,206,59875
Córdoba,PUNILLA,12,202,219494
Santa Fe,LAS COLONIAS,18,201,114730
Córdoba,UNION,7,195,113635
Entre Ríos,CONCORDIA,5,189,197603
La Rioja,CAPITAL,6,186,210507
Santa Fe,SAN CRISTOBAL,11,184,72593
Chubut,ESCALANTE,7,184,214829
Buenos Aires,OLAVARRIA,11,183,122011
Entre Ríos,GUALEGUAYCHU,8,182,125176
Mendoza,CAPITAL,3,182,123715
Córdoba,GENERAL SAN MARTIN,8,178,152397
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,10,177,260769
Buenos Aires,TANDIL,14,176,144678
San Juan,CAPITAL,16,175,114849
Formosa,PILCOMAYO,8,175,94116
Misiones,GENERAL MANUEL BELGRANO,2,175,45456
Buenos Aires,JOSE C. PAZ,0,174,326527
Misiones,SAN IGNACIO,2,171,63194
Buenos Aires,SAN FERNANDO,7,168,171099
Tucumán,CRUZ ALTA,4,168,227688
Buenos Aires,SAN NICOLAS,2,168,166657
Río Negro,BARILOCHE,9,167,161443
Córdoba,MARCOS JUAREZ,11,165,107286
Corrientes,GOYA,3,164,106223
Chaco,LIBERTADOR GENERAL SAN MARTIN,6,163,65304
Chubut,RAWSON,14,162,144420
Córdoba,SANTA MARIA,8,162,139012
Misiones,IGUAZU,3,161,99838
Córdoba,RIO SEGUNDO,7,160,113311
Córdoba,TERCERO ARRIBA,6,159,120207
Entre Ríos,URUGUAY,6,159,115516
Salta,GENERAL JOSE DE SAN MARTIN,5,156,177448
Buenos Aires,PERGAMINO,4,156,114988
Chaco,COMANDANTE FERNANDEZ,2,153,101086
Buenos Aires,EZEIZA,2,151,198620
Misiones,LEANDRO N. ALEM,1,150,49391
Misiones,SAN PEDRO,1,150,34690
Mendoza,GODOY CRUZ,3,148,194557
Buenos Aires,LUJAN,5,147,110111
Buenos Aires,HURLINGHAM,2,146,185361
Santa Fe,VERA,8,145,55463
Mendoza,MAIPU,3,145,218887
Córdoba,CRUZ DEL EJE,1,145,64748
Mendoza,LAS HERAS,6,143,233839
Entre Ríos,LA PAZ,3,142,75271
Buenos Aires,ITUZAINGO,1,141,177983
Córdoba,RIO PRIMERO,3,138,58181
Santa Fe,SAN LORENZO,7,134,193786
Entre Ríos,VILLAGUAY,3,134,55284
Misiones,25 DE MAYO,2,134,30877
Buenos Aires,NECOCHEA,5,133,101483
Buenos Aires,ZARATE,1,133,131415
Catamarca,CAPITAL,4,132,186466
Misiones,ELDORADO,1,132,91133
Buenos Aires,JUNIN,8,131,100964
La Pampa,CAPITAL,8,131,118504
Catamarca,BELEN,5,131,30353
Córdoba,CALAMUCHITA,6,130,75462
Buenos Aires,CAMPANA,1,130,107976
Mendoza,SAN MARTIN,4,129,139406
Buenos Aires,AZUL,3,128,75152
