provincia,nombre_depto,ee_comun,cantidad_bp
Córdoba,CAPITAL,1144,20
Buenos Aires,LA MATANZA,996,16
Santa Fe,ROSARIO,830,39
Buenos Aires,LA PLATA,687,33
Buenos Aires,LOMAS DE ZAMORA,557,12
Buenos Aires,GENERAL PUEYRREDON,540,6
Santa Fe,LA CAPITAL,471,23
Buenos Aires,QUILMES,460,9
Chaco,SAN FERNANDO,450,31
Entre Ríos,PARANA,444,11
Buenos Aires,ALMIRANTE BROWN,426,11
Tucumán,CAPITAL,406,10
Río Negro,GENERAL ROCA,392,29
Buenos Aires,MORENO,377,16
Neuquén,CONFLUENCIA,362,40
Buenos Aires,LANUS,360,13
Córdoba,SAN JUSTO,358,20
Buenos Aires,MERLO,355,4
Chaco,GENERAL GUEMES,344,1
Córdoba,RIO CUARTO,336,16
Buenos Aires,TIGRE,336,13
Misiones,CAPITAL,317,7
Buenos Aires,PILAR,317,6
Formosa,PATIÑO,311,2
Salta,CAPITAL,300,27
Buenos Aires,GENERAL SAN MARTIN,300,14
Buenos Aires,AVELLANEDA,297,15
Buenos Aires,FLORENCIO VARELA,296,10
Buenos Aires,BAHIA BLANCA,291,15
Buenos Aires,BERAZATEGUI,290,6
Buenos Aires,MORON,286,2
Santiago del Estero,CAPITAL,280,26
Buenos Aires,SAN ISIDRO,276,7
Buenos Aires,TRES DE FEBRERO,274,9
Corrientes,CAPITAL,273,15
Buenos Aires,SAN MIGUEL,273,4
Córdoba,COLON,265,11
Misiones,GUARANI,265,2
Misiones,OBERA,262,3
Jujuy,DOCTOR MANUEL BELGRANO,261,7
Santa Fe,GENERAL OBLIGADO,259,14
Formosa,FORMOSA,256,8
Mendoza,SAN RAFAEL,253,14
Santa Fe,CASTELLANOS,251,21
Buenos Aires,VICENTE LOPEZ,251,6
Santa Fe,GENERAL LOPEZ,236,21
Formosa,PIRANE,232,3
Buenos Aires,ESCOBAR,232,2
Buenos Aires,MALVINAS ARGENTINAS,227,5
Santiago del Estero,BANDA,216,13
Buenos Aires,ESTEBAN ECHEVERRIA,210,3
Mendoza,GUAYMALLEN,206,5
Misiones,CAINGUAS,206,3
Córdoba,PUNILLA,202,12
Santa Fe,LAS COLONIAS,201,18
Córdoba,UNION,195,7
Entre Ríos,CONCORDIA,189,5
La Rioja,CAPITAL,186,6
Santa Fe,SAN CRISTOBAL,184,11
Chubut,ESCALANTE,184,7
Buenos Aires,OLAVARRIA,183,11
Entre Ríos,GUALEGUAYCHU,182,8
Mendoza,CAPITAL,182,3
Córdoba,GENERAL SAN MARTIN,178,8
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,177,10
Buenos Aires,TANDIL,176,14
San Juan,CAPITAL,175,16
Formosa,PILCOMAYO,175,8
Misiones,GENERAL MANUEL BELGRANO,175,2
Buenos Aires,JOSE C. PAZ,174,0
Misiones,SAN IGNACIO,171,2
Buenos Aires,SAN FERNANDO,168,7
Tucumán,CRUZ ALTA,168,4
Buenos Aires,SAN NICOLAS,168,2
Río Negro,BARILOCHE,167,9
Córdoba,MARCOS JUAREZ,165,11
Corrientes,GOYA,164,3
Chaco,LIBERTADOR GENERAL SAN MARTIN,163,6
Chubut,RAWSON,162,14
Córdoba,SANTA MARIA,162,8
Misiones,IGUAZU,161,3
Córdoba,RIO SEGUNDO,160,7
Entre Ríos,URUGUAY,159,6
Córdoba,TERCERO ARRIBA,159,6
Ciudad de Buenos Aires,Comuna 4,157,0
Ciudad de Buenos Aires,Comuna 1,157,0
Salta,GENERAL JOSE DE SAN MARTIN,156,5
Buenos Aires,PERGAMINO,156,4
Chaco,COMANDANTE FERNANDEZ,153,2
